productID,productName,categoryID,quantityPerUnit,unitPrice_original,categoryName,orderID,unitPrice_ordertime,quantity,discount,customerID,orderDate,city,country
1,Chai,1,10 boxes x 20 bags,18.0,Beverages,10285,14.4,45,0.2,QUICK,1996-08-20 00:00:00.000,Cunewalde,Germany
1,Chai,1,10 boxes x 20 bags,18.0,Beverages,10294,14.4,18,0.0,RATTC,1996-08-30 00:00:00.000,Albuquerque,USA
1,Chai,1,10 boxes x 20 bags,18.0,Beverages,10317,14.4,20,0.0,LONEP,1996-09-30 00:00:00.000,Portland,USA
1,Chai,1,10 boxes x 20 bags,18.0,Beverages,10348,14.4,15,0.15,WANDK,1996-11-07 00:00:00.000,Stuttgart,Germany
1,Chai,1,10 boxes x 20 bags,18.0,Beverages,10354,14.4,12,0.0,PERIC,1996-11-14 00:00:00.000,México D.F.,Mexico
1,Chai,1,10 boxes x 20 bags,18.0,Beverages,10370,14.4,15,0.15,CHOPS,1996-12-03 00:00:00.000,Bern,Switzerland
1,Chai,1,10 boxes x 20 bags,18.0,Beverages,10406,14.4,10,0.0,missing,missing,missing,missing
1,Chai,1,10 boxes x 20 bags,18.0,Beverages,10413,14.4,24,0.0,LAMAI,1997-01-14 00:00:00.000,Toulouse,France
1,Chai,1,10 boxes x 20 bags,18.0,Beverages,10477,14.4,15,0.0,PRINI,1997-03-17 00:00:00.000,Lisboa,Portugal
1,Chai,1,10 boxes x 20 bags,18.0,Beverages,10522,18.0,40,0.2,LEHMS,1997-04-30 00:00:00.000,Frankfurt a.M.,Germany
1,Chai,1,10 boxes x 20 bags,18.0,Beverages,10526,18.0,8,0.15,WARTH,1997-05-05 00:00:00.000,Oulu,Finland
1,Chai,1,10 boxes x 20 bags,18.0,Beverages,10576,18.0,10,0.0,TORTU,1997-06-23 00:00:00.000,México D.F.,Mexico
1,Chai,1,10 boxes x 20 bags,18.0,Beverages,10590,18.0,20,0.0,MEREP,1997-07-07 00:00:00.000,Montréal,Canada
1,Chai,1,10 boxes x 20 bags,18.0,Beverages,10609,18.0,3,0.0,missing,missing,missing,missing
1,Chai,1,10 boxes x 20 bags,18.0,Beverages,10611,18.0,6,0.0,WOLZA,1997-07-25 00:00:00.000,Warszawa,Poland
1,Chai,1,10 boxes x 20 bags,18.0,Beverages,10628,18.0,25,0.0,missing,missing,missing,missing
1,Chai,1,10 boxes x 20 bags,18.0,Beverages,10646,18.0,15,0.25,HUNGO,1997-08-27 00:00:00.000,Cork,Ireland
1,Chai,1,10 boxes x 20 bags,18.0,Beverages,10689,18.0,35,0.25,BERGS,1997-10-01 00:00:00.000,Luleå,Sweden
1,Chai,1,10 boxes x 20 bags,18.0,Beverages,10691,18.0,30,0.0,QUICK,1997-10-03 00:00:00.000,Cunewalde,Germany
1,Chai,1,10 boxes x 20 bags,18.0,Beverages,10700,18.0,5,0.2,SAVEA,1997-10-10 00:00:00.000,Boise,USA
1,Chai,1,10 boxes x 20 bags,18.0,Beverages,10729,18.0,50,0.0,LINOD,1997-11-04 00:00:00.000,I. de Margarita,Venezuela
1,Chai,1,10 boxes x 20 bags,18.0,Beverages,10752,18.0,8,0.0,NORTS,1997-11-24 00:00:00.000,London,UK
1,Chai,1,10 boxes x 20 bags,18.0,Beverages,10838,18.0,4,0.25,LINOD,1998-01-19 00:00:00.000,I. de Margarita,Venezuela
1,Chai,1,10 boxes x 20 bags,18.0,Beverages,10847,18.0,80,0.2,SAVEA,1998-01-22 00:00:00.000,Boise,USA
1,Chai,1,10 boxes x 20 bags,18.0,Beverages,10863,18.0,20,0.15,HILAA,1998-02-02 00:00:00.000,San Cristóbal,Venezuela
1,Chai,1,10 boxes x 20 bags,18.0,Beverages,10869,18.0,40,0.0,SEVES,1998-02-04 00:00:00.000,London,UK
1,Chai,1,10 boxes x 20 bags,18.0,Beverages,10905,18.0,20,0.05,missing,missing,missing,missing
1,Chai,1,10 boxes x 20 bags,18.0,Beverages,10911,18.0,10,0.0,missing,missing,missing,missing
1,Chai,1,10 boxes x 20 bags,18.0,Beverages,10918,18.0,60,0.25,BOTTM,1998-03-02 00:00:00.000,Tsawassen,Canada
